x,y,z
-25153.11133,223.5501251,33694.62109
-25152.58594,223.5497437,33694.34375
-25152.16211,223.5490112,33694.10938
-25151.71875,223.5478516,33693.84375
-25151.29688,223.5471344,33693.57422
-25150.81641,223.5466003,33693.24609
-25150.38281,223.5457611,33692.92578
-25150.02734,223.5449066,33692.64844
-25149.62695,223.5443115,33692.31641
-25149.26758,223.5440979,33692
-25148.90625,223.5435791,33691.66406
-25148.54297,223.542984,33691.30078
-25148.20898,223.542984,33690.94922
-25147.77148,223.5436401,33690.45313
-25147.48047,223.5430908,33690.09375
-25147.16992,223.5419006,33689.67969
-25146.8125,223.5403748,33689.17188
-25146.49609,223.5383301,33688.67578
-25146.25,223.535553,33688.26172
-25145.99609,223.5318756,33687.80078
-25145.71094,223.5285034,33687.23438
-25145.47461,223.5261536,33686.72656
-25145.28906,223.5237274,33686.29688
-25145.08984,223.5215454,33685.79688
-25144.92773,223.5209808,33685.35547
-25144.71289,223.5203857,33684.70313
-25144.57227,223.519165,33684.23047
-25144.44141,223.5181274,33683.75391
-25144.30664,223.5173645,33683.20703
-25144.16992,223.5158081,33682.58984
-25144.07227,223.5143127,33682.10938
-25143.98047,223.5130463,33681.60547
-25143.89648,223.5124664,33681.08984
-25143.82617,223.5126953,33680.61328
-25143.74023,223.5134735,33679.98047
-25143.67383,223.5132141,33679.45703
-25143.61914,223.5126648,33678.98047
-25143.55859,223.5124969,33678.45703
-25143.50391,223.5125427,33677.94141
-25143.43555,223.513031,33677.29297
-25143.38477,223.5139771,33676.78906
-25143.33398,223.5145569,33676.28125
-25143.2793,223.5141907,33675.74219
-25143.22852,223.5134888,33675.25781
-25143.16992,223.5132141,33674.72266
-25143.0957,223.513504,33674.06641
-25143.03711,223.5138245,33673.57422
-25142.97461,223.5141754,33673.08984
-25142.90234,223.5141296,33672.55078
-25142.83008,223.5138245,33672.0625
-25142.74023,223.5145264,33671.49609
-25142.66211,223.5163727,33671.05078
-25142.56445,223.5186157,33670.53125
-25142.4375,223.5191803,33669.91406
-25142.33398,223.5183105,33669.44922
-25142.21484,223.5165863,33668.94922
-25142.09766,223.5145416,33668.49219
-25141.95898,223.5118866,33667.99219
-25141.81641,223.5098114,33667.50781
-25141.65625,223.5081329,33667.00781
-25141.5,223.5065765,33666.55469
-25141.33789,223.504364,33666.11328
-25141.16016,223.5009155,33665.66016
-25140.96094,223.496933,33665.1875
-25140.75586,223.4935455,33664.72656
-25140.55469,223.4906158,33664.30469
-25140.32031,223.4873047,33663.84766
-25140.08008,223.4844971,33663.40625
-25139.76953,223.4826965,33662.87109
-25139.51953,223.4819641,33662.47266
-25139.23438,223.4807434,33662.03906
-25138.94727,223.478714,33661.63281
-25138.67578,223.4767456,33661.26563
-25138.36328,223.4745636,33660.87109
-25138.00586,223.4724426,33660.44922
-25137.66406,223.4723358,33660.07031
-25137.22852,223.4730072,33659.625
-25136.79688,223.4719086,33659.21484
-25136.4375,223.4712219,33658.89844
-25135.95313,223.4717255,33658.5
-25135.60352,223.4714661,33658.23047
-25135.07617,223.4692078,33657.85547
-25134.67773,223.467865,33657.59375
-25134.26953,223.4673004,33657.34375
-25133.7793,223.4666901,33657.07031
-25133.31836,223.4658508,33656.83203
-25132.87109,223.4652557,33656.62109
-25132.33008,223.4643097,33656.39453
-25131.87891,223.4639435,33656.22656
-25131.37109,223.4644012,33656.05859
-25130.79688,223.4641113,33655.89453
-25130.32813,223.462738,33655.78125
-25129.83203,223.4608765,33655.68359
-25129.33789,223.4594269,33655.60547
-25128.80859,223.4596558,33655.54297
-25128.33398,223.4617615,33655.50781
-25127.67188,223.4650116,33655.49219
-25127.05078,223.4655304,33655.50391
-25126.56445,223.4649506,33655.53516
-25126.05078,223.4652863,33655.58594
-25125.52344,223.466095,33655.66016
-25125.04883,223.4663849,33655.74219
-25124.5,223.4663544,33655.85938
-25124.02148,223.4674225,33655.98047
-25123.40234,223.4698029,33656.15625
-25122.93945,223.4706268,33656.30469
-25122.4707,223.4703979,33656.47266
-25121.99219,223.470993,33656.65625
-25121.51563,223.4733582,33656.85547
-25120.95508,223.4771729,33657.10547
-25120.47266,223.4796143,33657.33594
-25119.9375,223.4809723,33657.60156
-25119.45898,223.4812927,33657.85547
-25118.87891,223.4815979,33658.17578
-25118.4707,223.4812775,33658.40625
-25118.01172,223.4802094,33658.67188
-25117.56641,223.479599,33658.93359
-25117.11719,223.4807587,33659.20703
-25116.66797,223.4821625,33659.48047
-25116.23242,223.4828949,33659.74609
-25115.80859,223.4832916,33660.00781
-25115.35352,223.484024,33660.28516
-25114.92578,223.4843597,33660.54688
-25114.47852,223.4833527,33660.81641
-25114.03711,223.4813232,33661.07422
-25113.60547,223.4796448,33661.32422
-25113.18359,223.4793701,33661.56641
-25112.70703,223.480835,33661.82813
-25112.25391,223.4819794,33662.07031
-25111.83594,223.4824982,33662.28516
-25111.40039,223.4830933,33662.5
-25110.92578,223.4841766,33662.71875
-25110.48242,223.4850159,33662.91797
-25110.01563,223.4853821,33663.11328
-25109.57813,223.4859924,33663.28906
-25108.99414,223.4875946,33663.50391
-25108.57031,223.4886627,33663.65234
-25108.08594,223.4895477,33663.80469
-25107.62109,223.490921,33663.9375
-25107.13477,223.4931793,33664.06641
-25106.54688,223.4960785,33664.19922
-25106.10156,223.4977875,33664.28906
-25105.61914,223.4992981,33664.37109
-25105.14063,223.5007629,33664.4375
-25104.54688,223.5025024,33664.50391
-25104.07031,223.5038605,33664.54297
-25103.55273,223.5067596,33664.5625
-25102.99023,223.5111694,33664.57031
-25102.57813,223.5136719,33664.55859
-25102.00586,223.5160065,33664.52734
-25101.39648,223.5188599,33664.46875
-25100.94922,223.5216064,33664.41016
-25100.3418,223.5255432,33664.30859
-25099.88672,223.5285492,33664.21484
-25099.39063,223.5296173,33664.09766
-25098.95508,223.5311127,33663.98047
-25098.46484,223.5344086,33663.82813
-25098.00195,223.5375671,33663.66797
-25097.52344,223.5408325,33663.48047
-25097.08203,223.5436859,33663.28906
-25096.52539,223.5465546,33663.01953
-25096.11133,223.5483856,33662.80078
-25095.57031,223.551651,33662.48047
-25095.19922,223.5547943,33662.24219
-25094.79102,223.558609,33661.95703
-25094.4043,223.5620728,33661.66797
-25093.94336,223.5660248,33661.28906
-25093.5,223.5695801,33660.89453
-25093.16602,223.5719604,33660.57031
-25092.80469,223.5746918,33660.1875
-25092.40234,223.5791016,33659.72656
-25092.11133,223.5835876,33659.36328
-25091.74414,223.5897064,33658.86328
-25091.46875,223.594223,33658.44922
-25091.14844,223.5982513,33657.92578
-25090.9375,223.5995789,33657.54688
-25090.71094,223.6010742,33657.09766
-25090.50586,223.6047668,33656.64844
-25090.29688,223.609024,33656.14063
-25090.13672,223.6125031,33655.70313
-25089.97852,223.6164856,33655.20703
-25089.81055,223.6204834,33654.58594
-25089.70898,223.6225281,33654.14063
-25089.61133,223.6243439,33653.60938
-25089.53125,223.6247406,33653.0625
-25089.48047,223.6245575,33652.58594
-25089.44336,223.6255798,33652.07422
-25089.42383,223.6277924,33651.53125
-25089.42188,223.6288605,33651.04688
-25089.43555,223.629364,33650.52734
-25089.46289,223.6296844,33650.03125
-25089.50391,223.6295166,33649.50391
-25089.57617,223.6301727,33648.87109
-25089.66602,223.6331635,33648.25391
-25089.75,223.63591,33647.76953
-25089.8457,223.6381683,33647.26953
-25089.98828,223.6406708,33646.62109
-25090.09961,223.6426086,33646.14453
-25090.26563,223.6453247,33645.48828
-25090.39063,223.6473389,33645.02734
-25090.52734,223.6497345,33644.53516
-25090.67578,223.6521759,33644.01563
-25090.81445,223.6539459,33643.53125
-25090.96094,223.6545868,33643.03906
-25091.15625,223.6546478,33642.37891
-25091.30078,223.6555328,33641.89844
-25091.44141,223.6570129,33641.42578
-25091.62305,223.6590576,33640.8125
-25091.79688,223.6620789,33640.21875
-25091.93164,223.6648865,33639.75
-25092.06055,223.6674042,33639.28125
-25092.19141,223.6699982,33638.80469
-25092.31836,223.673584,33638.30859
-25092.46289,223.6783752,33637.73047
-25092.60938,223.6834869,33637.08594
-25092.73047,223.6891479,33636.50781
-25092.82227,223.6940918,33636.03516
-25092.9043,223.698822,33635.55859
-25092.98047,223.703949,33635.07031
-25093.07031,223.7101898,33634.42969
-25093.13672,223.7135925,33633.83594
-25093.18164,223.7146759,33633.35547
-25093.21484,223.7159271,33632.87891
-25093.24219,223.7186127,33632.37891
-25093.25586,223.7219543,33631.89453
-25093.25977,223.7249298,33631.40625
-25093.25,223.7275391,33630.82813
-25093.22656,223.7299652,33630.33203
-25093.18359,223.7340546,33629.72656
-25093.13477,223.737381,33629.25391
-25093.07227,223.7408752,33628.75781
-25092.98047,223.7446594,33628.17188
-25092.89258,223.7479706,33627.71484
-25092.78711,223.7520142,33627.23047
-25092.66211,223.7566071,33626.73828
-25092.49023,223.7624969,33626.14063
-25092.31445,223.7670288,33625.60547
-25092.13477,223.7681427,33625.10938
-25091.92188,223.7690735,33624.58203
-25091.73828,223.7687531,33624.16016
-25091.49023,223.7691803,33623.64063
-25091.27148,223.7727661,33623.21875
-25091.03516,223.77742,33622.79688
-25090.68164,223.7824707,33622.21875
-25090.33594,223.785965,33621.71094
-25089.99219,223.789032,33621.24609
-25089.5918,223.7927094,33620.75391
-25089.26367,223.7960052,33620.37891
-25088.94531,223.7992706,33620.03906
-25088.50391,223.8036499,33619.60547
-25088.14063,223.8068542,33619.27734
-25087.74609,223.8099823,33618.94922
-25087.29102,223.8135681,33618.60156
-25086.78906,223.8174133,33618.25
-25086.38867,223.8204498,33617.99609
-25085.90625,223.8243103,33617.71484
-25085.5,223.8274841,33617.5
-25085.04883,223.8311462,33617.28516
-25084.59375,223.8338928,33617.08594
-25084.11328,223.8357086,33616.90234
-25083.53906,223.8380737,33616.71094
